Symbol,Name,Last,Std Dev,"Market Cap, $K",1Y Return,3Y Return,20D His Vol,Long Term,Exchange,%Chg,52W High,52W Low,Pivot
A,Agilent Technologies,67.13,-0.25,21665594000,54.47%,70.49%,10.21%,100% Buy,NYSE,-0.28%,68.47,42.92,67.25
AA,Alcoa Corp,49.1,-1.34,9263298000,140.30%,33.42%,26.88%,100% Buy,NYSE,-1.96%,50.31,20.21,49.48
AAC,Aac Holdings Inc,8.22,-0.66,202585000,-51.53%,-61.34%,57.95%,67% Buy,NYSE,-2.38%,17.77,5.99,8.48
AAL,American Airlines Gp,50.76,-1.03,24936000000,28.40%,25.63%,29.69%,Hold,NASDAQ,-2.29%,54.48,38.21,51.53
AAN,Aaron's Inc,41.73,-1.13,2998245000,80.17%,71.20%,25.84%,Hold,NYSE,-1.56%,48.22,22.37,42.25
AAOI,Applied Optoelect,39.8,-0.76,804038000,89.17%,158.12%,83.93%,100% Sell,NASDAQ,-4.46%,103.41,18.85,42.02
AAON,Aaon Inc,34.55,-1.04,1846260000,17.43%,78.63%,17.41%,33% Sell,NASDAQ,-1.57%,38.2,27.45,35.08
AAP,Advance Auto Parts Inc,82.52,-1.22,6222705000,-42.50%,-42.67%,24.21%,100% Sell,NYSE,-2.05%,177.83,81.82,84.56
AAPL,Apple Inc,155.49,-0.75,8.11458E+11,32.03%,45.46%,13.17%,67% Buy,NASDAQ,-1.02%,164.94,104.08,156.91
AAT,American Assets Trust,39.14,-0.8,1860692000,-2.05%,2.97%,14.18%,33% Sell,NYSE,-0.86%,44.83,37.54,39.39
AAWW,Atlas Air Ww,62.65,-0.96,1609699000,48.64%,72.54%,27.44%,67% Buy,NASDAQ,-1.65%,68.7,40.25,64.32
AAXN,Axon Inc,22.16,-0.34,1179166000,-4.40%,18.47%,31.51%,67% Sell,NASDAQ,-0.72%,28.49,21.18,22.33
ABAX,Abaxis Inc,49.17,3.59,1049866000,-3.14%,-12.13%,26.28%,33% Buy,NASDAQ,6.27%,55.95,43.66,46.33
ABBV,Abbvie Inc,90.91,-0.52,1.46162E+11,47.62%,44.48%,27.53%,67% Buy,NYSE,-0.85%,98.26,55.06,92.2
ABC,Amerisourcebergen Corp,81.98,-0.16,17934154000,1.55%,-4.17%,26.06%,67% Sell,NYSE,0.16%,97.85,68.38,81.82
ABCB,Ameris Bancorp,48.25,-0.08,1803794000,32.78%,95.36%,20.05%,Hold,NASDAQ,-0.41%,51.28,35.15,48.48
ABCD,Cambium Learning Grp,6.06,-1.3,287494000,18.79%,305.23%,25.86%,67% Buy,NASDAQ,-2.26%,6.87,4.25,6.22
ABCO,Advisory Board Co,53.75,0,2190850000,28.87%,0.15%,2.88%,Hold,NASDAQ,unch,59.5,24.85,53.82
ABEO,Abeona Therapeutics,17.65,-0.14,821814000,121.37%,78.50%,92.38%,67% Buy,NASDAQ,-1.12%,22.75,4.05,18.23
ABG,Asbury Automotive Group Inc,58.4,1.47,1188352000,16.17%,-18.55%,24.72%,67% Buy,NYSE,2.37%,71,47.5,56.87
ABM,ABM Industries Incorporated,42.02,-1.08,2759331000,9.31%,53.26%,10.82%,67% Sell,NYSE,-0.80%,45.12,37.12,42.41
ABMD,Abiomed Inc,165.49,-3.28,7792911000,36.51%,438.91%,28.76%,67% Buy,NASDAQ,-6.35%,177.76,95.14,176.1
ABT,Abbott Laboratories,55.19,-0.07,96219424000,37.70%,27.05%,15.47%,100% Buy,NYSE,-0.34%,56.69,37.38,55.54
ABTX,Allegiance Banc CS,39,0.75,510900000,43.33%,0.00%,10.82%,33% Buy,NASDAQ,0.51%,40.45,25.16,38.87
AC,Associated Capital Group Inc,37.1,-0.42,891470000,8.48%,0.00%,20.26%,67% Buy,NYSE,-0.54%,39.35,32.2,37.43
ACAD,Acadia Pharmaceutica,34.72,-1.67,4362336000,46.63%,28.66%,27.61%,67% Buy,NASDAQ,-2.58%,41.2,20.68,35.67
ACBI,Atlantic Capital,17.3,0,446484000,16.00%,0.00%,15.01%,67% Sell,NASDAQ,-0.57%,20.2,14.25,17.45
ACC,American Campus Communities Inc,42.21,-0.07,5760075000,-18.87%,7.51%,15.38%,100% Sell,NYSE,-0.02%,52.3,41.55,42.17
ACCO,Acco Brands Corp,12.77,0.11,1387710000,11.09%,54.92%,27.46%,100% Buy,NYSE,0.16%,14.75,10.35,12.74
ACET,Aceto Cp,10.56,-2.06,336427000,-42.98%,-51.72%,27.12%,67% Sell,NASDAQ,-3.83%,22.46,10.27,10.98
ACGL,Arch Capital Grp Ltd,101.59,-0.56,13326329000,30.52%,80.98%,9.20%,100% Buy,NASDAQ,-0.33%,102.6,76.47,102.12
ACHC,Acadia Healthcr Co,32.02,-4.49,3877266000,-16.28%,-28.90%,109.29%,100% Sell,NASDAQ,-27.43%,54.34,31.7,44.38
ACHN,Achillion Pharmaceut,3.84,-0.21,523791000,-43.30%,-67.40%,39.49%,33% Sell,NASDAQ,0.26%,6.87,3.15,3.91
ACIA,Acacia Communica,44.38,-1.06,1758681000,-48.96%,0.00%,22.84%,Hold,NASDAQ,-1.00%,89.98,38.5,44.68
ACIW,Aci Worldwide Inc,24.09,0.33,2831130000,23.70%,24.48%,11.98%,100% Buy,NASDAQ,0.58%,24.65,15.11,24.01
ACLS,Axcelis Tech Inc,31.9,-1.26,1030260000,130.47%,278.44%,32.76%,100% Buy,NASDAQ,-3.33%,33.67,11.05,33.08
ACM,Aecom Technology Corp,34.44,-3.35,5484850000,27.33%,7.53%,7.77%,67% Buy,NYSE,-1.60%,40.72,26.65,35.07
ACN,Accenture Plc,139.63,0.99,85844992000,21.29%,71.24%,10.35%,100% Buy,NYSE,0.52%,140.17,112.31,138.8
