Symbol,Name,Last,StdDev,MarketCapInK,1YReturn,3YReturn,20DHisVol,LongTermOpinion,Exchange,%Chg,52WHigh,52WLow,Pivot
ACHC,Acadia Healthcr Co,32.02,-4.49,3877266000,-16.28%,-28.90%,109.29%,100% Sell,NASDAQ,-27.43%,54.34,31.7,44.38
SFLY,Shutterfly Inc,44.79,-4.28,1629457000,5.42%,16.73%,32.33%,67% Sell,NASDAQ,-8.27%,53.99,41.91,49.12
OC,Owens Corning Inc,74.9,-4.2,8987488000,51.77%,152.12%,25.68%,67% Buy,NYSE,-7.34%,81.06,46.45,80.59
ROL,Rollins Inc,43.99,-4.18,10279172000,56.72%,121.92%,25.39%,67% Buy,NYSE,-6.70%,48.29,28.24,47.24
DPS,Dr Pepper Snapple Group Inc,84.26,-4.17,16302998000,-4.31%,29.55%,22.74%,100% Sell,NYSE,-6.08%,99.47,81.05,89.79
EW,Edwards Lifesciences Corp,102.71,-4.17,24125030000,-9.53%,88.97%,39.98%,100% Sell,NYSE,-10.10%,121.45,81.12,114.14
TRK,Speedway Motorsports,20.5,-4.13,942180000,15.95%,17.42%,39.79%,67% Buy,NYSE,-10.79%,23.47,16.8,23.03
AI,Arlington Asset Investment Corp,11.88,-4.12,328787000,-22.01%,-53.73%,28.49%,100% Sell,NYSE,-6.24%,17.13,11.43,12.69
INVA,Innoviva Inc,11.84,-4.1,1519011000,18.68%,-13.30%,54.37%,33% Sell,NASDAQ,-14.76%,14.87,8.67,13.89
SCL,Stepan Company,79.75,-4.06,1943663000,13.05%,94.83%,27.93%,67% Sell,NYSE,-7.56%,92.97,67.85,86.07
CMG,Chipotle Mexican Grill,275.14,-4.04,9245793000,-32.06%,-49.17%,63.92%,100% Sell,NYSE,-15.16%,499,275,323.03
CFNB,Calif First National,15.75,-4,187096000,13.88%,21.33%,51.13%,67% Sell,NASDAQ,-13.46%,19.4,14.05,18.2
WYN,Wyndham Worldwide Corp,104.25,-3.98,11154771000,53.07%,39.72%,17.46%,67% Buy,NYSE,-3.93%,110.74,62.6,108.6
ZAGG,Zagg Inc,14.25,-3.98,488077000,118.38%,159.67%,64.30%,67% Buy,NASDAQ,-18.34%,18.2,5.15,17.68
AMD,Adv Micro Devices,12.41,-3.9,13491615000,67.15%,408.93%,52.21%,67% Sell,NASDAQ,-12.91%,15.65,6.22,14.25
AOS,Smith [A.O.] Corp,58.58,-3.84,10685402000,26.44%,132.16%,19.33%,67% Buy,NYSE,-5.41%,62.16,43.66,61.79
CBPX,Continental Building Products,25.75,-3.83,1035419000,25.24%,82.84%,16.09%,67% Buy,NYSE,-4.45%,27.1,18.35,26.93
EXP,Eagle Materials Inc,104.37,-3.83,5372345000,30.79%,26.70%,24.69%,67% Buy,NYSE,-5.78%,110.98,78.71,110.31
IR,Ingersoll-Rand Plc [Ireland],89.58,-3.79,24253388000,39.04%,52.68%,26.16%,Hold,NYSE,-6.31%,96.23,63.87,95.26
